itemcode,Pos_id,bez,AG_id,agtyp,APlatz_id,bde,menge_je,menge_zeitje,qs_id,traplatz,trtimetype_id,tr2aplatz,teaplatz,timetype_id,tnaplatz,tntimetype_id,ptimetype_id,udf1,udf2,udf3,udf4
59000173-001,10,Release Raw Material 投料,,operation,REL01,N,40,60,,0.0167,Setup,0.0167,0.5,Machine,,,,NA,,,1000
59000173-001,20,Preform HTT 预制体热处理,,operation,HTT01,J,160,60,,0.5,Setup,0.5,61,Machine,4,Labor,,SOI-1001,XA,,4010
59000173-001,30,1st CVD 第1次化学气相沉积,,operation,CVD02,J,40,60,,0.5,Setup,0.5,132,Machine,7,Labor,,SOI-2005,XA,,4020
59000173-001,40,Grind both end sides after 1st CVD 第一次CVD后磨削两端面,,operation,DSG01,J,1,60,,0.0833,Setup,0.0833,0.042,Machine,,,,SOI-7011,XA,,1030
59000173-001,50,Mill the OD and ID after 1st CVD 第一次CVD后铣削内外径,,operation,MIL01,J,4,60,,0.0833,Setup,0.0833,0.283,Machine,,,,SOI-6006,XA,,1040
59000173-001,60,2nd CVD 第2次化学气相沉积,,operation,CVD02,J,40,60,,0.5,Setup,0.5,136,Machine,7,Labor,,SOI-2006,XA,,4050
59000173-001,70,Grind both end sides after 2nd CVD 第二次CVD后磨削两端面,,operation,DSG01,J,1,60,,0.0833,Setup,0.0833,0.042,Machine,,,,SOI-7012,XA,,1060
59000173-001,80,Mill the OD and ID after 2nd CVD 第二次CVD后铣削内外径,,operation,MIL01,J,4,60,,0.0833,Setup,0.0833,0.283,Machine,,,,SOI-6007,XA,,1070
59000173-001,90,3rd CVD 第3次化学气相沉积,,operation,CVD02,J,40,60,,0.5,Setup,0.5,138,Machine,7,Labor,,SOI-2007,XA,,4080
59000173-001,100,Grind both end sides after 3rd CVD 第三次CVD后磨削两端面,,operation,DSG01,J,1,60,,0.0833,Setup,0.0833,0.042,Machine,,,,SOI-7013,XA,,1090
59000173-001,110,Mill the OD and ID after 3rd CVD 第三次CVD后铣削内外径,,operation,MIL01,J,4,60,,0.0833,Setup,0.0833,0.283,Machine,,,,SOI-6008,XA,,1100
59000173-001,120,4th CVD 第4次化学气相沉积,,operation,CVD02,J,40,60,,0.5,Setup,0.5,119,Machine,7,Labor,,SOI-2008,XA,,4110
59000173-001,130,Post CVD HTT CVD后热处理,,operation,HTT01,J,160,60,,0.5,Setup,0.5,63,Machine,4,Labor,,SOI-1002,XA,,4120
59000173-001,140,Grind both end sides after 4th CVD 第四次CVD后磨削两端面,,operation,DSG01,J,1,60,,0.0833,Setup,0.0833,0.042,Machine,,,,SOI-7014,XA,,1130
59000173-001,150,Mill the OD and ID after 4th CVD 第四次CVD后铣削内外径,,operation,MIL01,J,4,60,,0.0833,Setup,0.0833,0.283,Machine,,,,SOI-6009,XA,,1140
59000173-001,160,1st Impregnation 第一次浸渍,,operation,IMP01,J,40,60,,1,Setup,1,27,Machine,4,Labor,,SOI-3001,XA,,4150
59000173-001,170,1st Crabonization 第一次炭化,,operation,CAB01,J,160,60,,0.5,Setup,0.5,110,Machine,7,Labor,,SOI-4001,XA,,4160
